common_name,is_native,link,jan_1,jan_2,jan_3,jan_4,feb_1,feb_2,feb_3,feb_4,mar_1,mar_2,mar_3,mar_4,apr_1,apr_2,apr_3,apr_4,may_1,may_2,may_3,may_4,jun_1,jun_2,jun_3,jun_4,jul_1,jul_2,jul_3,jul_4,aug_1,aug_2,aug_3,aug_4,sept_1,sept_2,sept_3,sept_4,oct_1,oct_2,oct_3,oct_4,nov_1,nov_2,nov_3,nov_4,dec_1,dec_2,dec_3,dec_4
Cranesbill,1,https://plants.ces.ncsu.edu/plants/geranium-carolinianum/,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombines,1,https://plants.ces.ncsu.edu/plants/aquilegia/,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack-In-The-Pulpit,1,https://plants.ces.ncsu.edu/plants/arisaema-triphyllum/common-name/brown-dragon/,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfrey,,https://plants.ces.ncsu.edu/plants/symphytum-officinale/,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peony,,https://plants.ces.ncsu.edu/plants/paeonia-hybrids/,,,,,,,,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dianthuses,,https://plants.ces.ncsu.edu/plants/dianthus/,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,1,1,,,,,,,,,,,,,
Ajuga,,https://plants.ces.ncsu.edu/plants/ajuga-reptans/,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Bellwort,1,https://plants.ces.ncsu.edu/plants/uvularia-puberula/,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clematis,,https://plants.ces.ncsu.edu/plants/clematis-x-jackmanii/,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum,,https://plants.ces.ncsu.edu/plants/hylotelephium/,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verbascum,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=255637&isprofile=0&,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Salvia,,https://plants.ces.ncsu.edu/plants/salvia/,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Laurel,1,https://plants.ces.ncsu.edu/plants/kalmia-latifolia/,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Coreposis,1,https://plants.ces.ncsu.edu/plants/coreopsis-lanceolata/,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Bowman's Root,1,https://plants.ces.ncsu.edu/plants/gillenia-trifoliata/,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon's Plume,1,https://plants.ces.ncsu.edu/plants/maianthemum-racemosum/,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium,,https://plants.ces.ncsu.edu/plants/allium/,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Yarrow,,https://plants.ces.ncsu.edu/plants/achillea/,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Summer Bluet,1,https://plants.ces.ncsu.edu/plants/houstonia-purpurea/,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Fire Pink,1,https://plants.ces.ncsu.edu/plants/silene-virginica/,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Flame Azaelea,1,https://plants.ces.ncsu.edu/plants/rhododendron-calendulaceum/,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender,,https://plants.ces.ncsu.edu/plants/lavandula/,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
Sea Holly,,https://plants.ces.ncsu.edu/plants/eryngium-planum/,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Astilbe,,https://plants.ces.ncsu.edu/plants/astilbe-biternata/,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Coneflower,1,https://plants.ces.ncsu.edu/plants/echinacea-purpurea/,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Chamomile,,https://plants.ces.ncsu.edu/plants/matricaria-chamomilla/,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
Shasta Daisy,1,https://plants.ces.ncsu.edu/plants/leucanthemum-x-superbum/,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,
Roses,,https://plants.ces.ncsu.edu/plants/rosa-knock-out-group/,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Daylily,,https://plants.ces.ncsu.edu/plants/hemerocallis/,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Nasturtium,,https://plants.ces.ncsu.edu/plants/tropaeolum-majus/,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Galax,1,https://plants.ces.ncsu.edu/plants/galax-urceolata/,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Foxglove,,https://plants.ces.ncsu.edu/plants/digitalis-purpurea/,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
Marigold,,https://plants.ces.ncsu.edu/plants/tagetes/,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
Oriental Lily,,https://plants.ces.ncsu.edu/plants/lilium-oriental-hybrids/,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,
Asclepias Tuberosa,1,https://plants.ces.ncsu.edu/plants/asclepias-tuberosa/,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,
Candy Tuft,,https://plants.ces.ncsu.edu/plants/iberis-umbellata/,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
Thimbleberry,1,https://plants.ces.ncsu.edu/plants/rubus-odoratus/,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Larkspur,,https://plants.ces.ncsu.edu/plants/delphinium/,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
Gladiolus,,https://plants.ces.ncsu.edu/plants/gladiolus/,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
St. John's Wort,1,https://plants.ces.ncsu.edu/plants/hypericum-perforatum/,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
Rosebay Rhododendron,1,https://plants.ces.ncsu.edu/plants/rhododendron-maximum/,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Cosmos,,https://plants.ces.ncsu.edu/plants/cosmos/,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
Heliopsis,1,https://plants.ces.ncsu.edu/plants/heliopsis-helianthoides/,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Dahlia,,https://plants.ces.ncsu.edu/plants/dahlia/,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
Petunia,,https://plants.ces.ncsu.edu/plants/petunia-x-hybrida/,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
Rudbekia,1,https://plants.ces.ncsu.edu/plants/rudbeckia/,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
Blanket Flower,1,https://plants.ces.ncsu.edu/plants/gaillardia/,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
Zinnia,,https://plants.ces.ncsu.edu/plants/zinnia/,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
Garden Phlox,1,https://plants.ces.ncsu.edu/plants/phlox-carolina/,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,1,1,1,1,,1,,,,,,,,
Liatris,1,https://plants.ces.ncsu.edu/plants/liatris-spicata/,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Rue,,https://plants.ces.ncsu.edu/plants/ruta-graveolens/,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,
Anise Hyssop,1,https://plants.ces.ncsu.edu/plants/agastache-foeniculum/,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
1,,https://plants.ces.ncsu.edu/plants/alcea-rosea/,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Buddleja,,https://plants.ces.ncsu.edu/plants/buddleja/,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
Bee Balm,1,https://plants.ces.ncsu.edu/plants/monarda/,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
New England Aster,1,https://plants.ces.ncsu.edu/plants/symphyotrichum-novae-angliae/,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Sunflower,,https://plants.ces.ncsu.edu/plants/helianthus-annuus/,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Passionflower,1,https://plants.ces.ncsu.edu/plants/passiflora-incarnata/,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
Feverfew,,https://plants.ces.ncsu.edu/plants/tanacetum-parthenium/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,
Golderods,1,https://plants.ces.ncsu.edu/plants/solidago/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
Bachelor's Button,,https://plants.ces.ncsu.edu/plants/centaurea-cyanus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,
Angelica,1,https://plants.ces.ncsu.edu/plants/angelica-archangelica/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,,,,,,,,
Great Blue Lobelia,1,https://plants.ces.ncsu.edu/plants/lobelia-siphilitica/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,
Sneezeweed,1,https://plants.ces.ncsu.edu/plants/helenium-autumnale/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,
Hyacinth,,https://plants.ces.ncsu.edu/plants/hyacinthus-orientalis/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,
Moonflower,,https://plants.ces.ncsu.edu/plants/ipomoea-alba/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
Morning Glory,,https://plants.ces.ncsu.edu/plants/ipomoea/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,
Anenome,1,https://plants.ces.ncsu.edu/plants/anemone-virginiana/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
Hardy Mum,,https://plants.ces.ncsu.edu/plants/chrysanthemum-rubellum-group/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,
Bottle Gentian,1,https://plants.ces.ncsu.edu/plants/gentiana-catesbaei/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,
